--------------------------------------------
PID= 6 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:31:44 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 6 -Linea: 2
PID= 11 |Tipo= Writer | Fecha y hora= 2023-05-22 16:31:47 | Accion= Escribiendo | Mensaje= 2
PID= 1 |Tipo= Writer | Fecha y hora= 2023-05-22 16:31:47 | Accion= Error al escribir (Lineas llenas) | Mensaje= 
PID= 2 |Tipo= Writer | Fecha y hora= 2023-05-22 16:31:47 | Accion= Error al escribir (Lineas llenas) | Mensaje= 
PID= 1 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:31:52 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 1 -Linea: 6
PID= 4 |Tipo= Writer | Fecha y hora= 2023-05-22 16:31:55 | Accion= Escribiendo | Mensaje= 6
PID= 7 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:32:00 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 7 -Linea: 2
PID= 9 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:32:05 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 9 -Linea: 1
PID= 4 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:32:10 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 4 -Linea: 12
PID= 7 |Tipo= Writer | Fecha y hora= 2023-05-22 16:32:13 | Accion= Escribiendo | Mensaje= 1
PID= 3 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:32:18 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 3 -Linea: 5
PID= 3 |Tipo= Writer | Fecha y hora= 2023-05-22 16:32:21 | Accion= Escribiendo | Mensaje= 2
PID= 10 |Tipo= Writer | Fecha y hora= 2023-05-22 16:32:24 | Accion= Escribiendo | Mensaje= 5
PID= 8 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:32:29 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 8 -Linea: 10
